PROGRAM_LABEL,SUMLEVEL,PROGRAM,SUB_PROGRAM,NAME,CODE,TOTAL_UNITS,PCT_OCCUPIED,NUMBER_REPORTED,PCT_REPORTED,MONTHS_SINCE_REPORT,PCT_MOVEIN,PEOPLE_PER_UNIT,PEOPLE_TOTAL,RENT_PER_MONTH,SPENDING_PER_MONTH,HH_INCOME,PERSON_INCOME,PCT_LT5K,PCT_5K_LT10K,PCT_10K_LT15K,PCT_15K_LT20K,PCT_GE20K,PCT_WAGE_MAJ,PCT_WELF_MAJ,PCT_OTHER_MAJ,PCT_MEDIAN,PCT_LT50_MEDIAN,PCT_LT30_MEDIAN,PCT_2ADULTS,PCT_1ADULT,PCT_FEMALE_HEAD,PCT_FEMALE_HEAD_CHILD,PCT_DISABLED_LT62,PCT_DISABLED_GE62,PCT_DISABLED_ALL,PCT_LT24_HEAD,PCT_AGE25_50,PCT_AGE51_61,PCT_AGE62PLUS,PCT_AGE85PLUS,PCT_MINORITY,PCT_BLACK,PCT_NATIVE_AMERICAN,PCT_ASIAN,PCT_HISPANIC,MONTHS_WAITING,MONTHS_FROM_MOVEIN,PCT_UTILITY_ALLOW,AVE_UTIL_ALLOW,PCT_BED1,PCT_BED2,PCT_BED3,PCT_OVERHOUSED,TMINORITY,TPOVERTY,FEDHSE,CBSA,PLACEFIPS,LATITUDE,LONGITUDE,STATE,PHA_TOTAL_UNITS,HA_SIZE
S8 NC/SR,9,5,A,CA Marin County,06041,400,92,374,100,6,8,1.0,392,310,971,14.2,13.5,2,5,62,17,14,3,1,96,18,99,93,0,0,64,0,100,10,33,0,14,13,73,18,14,3,0,5,6,,106,93,39,100,0,0,0,20,7,A,A,A,,,CA,,A
S236,9,6,A,CA Marin County,06041,75,93,49,92,6,6,2.4,116,395,633,16.1,6.8,8,10,33,18,31,43,2,55,17,100,88,20,20,67,33,28,6,10,2,35,29,35,0,69,20,2,39,8,,152,92,44,26,33,41,27,18,6,A,A,A,,,CA,,A
MF/Other,9,7,A,CA Marin County,06041,575,92,396,100,6,9,1.5,601,435,915,19.4,12.8,4,8,38,15,35,23,3,73,23,94,77,6,9,70,12,44,7,18,2,27,19,52,12,31,18,0,4,9,,119,74,36,65,20,15,15,27,9,A,A,A,,,CA,,A
PH,9,2,A,CA Marin County,06041,497,94,470,99,5,10,1.9,890,319,536,13.8,7.3,7,16,42,17,14,20,8,88,15,99,92,2,33,64,30,43,20,21,6,37,25,30,3,65,46,0,9,9,7,111,41,50,49,27,23,11,45,16,A,A,A,,,CA,,A
VO,9,3,A,CA Marin County,06041,,,2094,,4,7,1.9,3887,429,1066,16.7,9.0,3,11,44,14,24,23,4,86,18,97,85,3,26,73,26,51,15,23,1,38,30,30,2,38,16,1,9,12,12,113,88,82,45,36,18,12,30,9,A,99998,A,,,CA,,A
VO,9,3,A,CA Napa County,06055,,,1119,,5,6,1.9,2167,395,700,16.0,8.3,1,8,44,20,23,17,4,87,24,97,74,6,24,71,25,53,58,34,0,37,20,41,6,29,3,2,2,23,3,86,95,90,45,37,17,16,35,10,A,99998,A,,,CA,,A
PH,9,2,A,CA Napa County,06055,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,,,CA,,A
S8 NC/SR,9,5,A,CA Napa County,06055,257,94,209,87,6,7,1.7,355,379,656,16.1,9.5,3,11,43,18,24,21,1,78,25,97,74,8,16,78,17,35,14,15,3,24,10,63,10,35,2,1,2,30,,83,100,51,69,23,8,2,39,14,A,A,A,,,CA,,A
S236,9,6,A,CA Napa County,06055,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,,,CA,,A
MF/Other,9,7,A,CA Napa County,06055,439,93,240,88,6,20,1.8,442,395,470,17.0,9.3,4,9,38,22,27,20,1,78,26,99,70,13,11,62,15,39,14,15,3,27,12,58,9,41,2,0,3,37,,58,84,30,71,14,14,1,32,12,A,A,A,,,CA,,A
S8 NC/SR,9,5,A,CA San Francisco County,06075,3909,93,3654,100,5,4,1.6,5676,346,1240,14.8,9.6,3,7,55,21,15,11,3,85,17,99,93,4,8,66,10,30,9,10,3,12,9,76,21,63,12,0,38,13,,140,70,28,78,13,8,5,65,22,A,A,A,,,CA,,A
S236,9,6,A,CA San Francisco County,06075,1933,93,1733,100,6,6,1.6,2766,383,679,15.8,9.9,2,8,49,21,20,16,3,80,18,99,90,6,8,62,10,22,8,8,1,14,10,75,14,58,27,0,25,7,,136,40,17,73,14,13,8,72,20,A,A,A,,,CA,,A
MF/Other,9,7,A,CA San Francisco County,06075,4183,93,3086,96,5,6,1.6,4917,343,1022,14.7,9.3,5,11,53,16,15,14,5,79,17,98,92,6,10,62,13,28,11,11,3,17,12,69,10,73,21,3,39,9,,110,53,23,73,12,14,8,67,22,A,A,A,,,CA,,A
PH,9,2,A,CA San Francisco County,06075,6249,90,5568,97,6,13,2.0,11194,324,697,13.6,6.8,6,18,44,11,16,20,15,71,14,98,92,4,32,71,32,32,80,30,5,37,19,37,6,84,42,0,28,12,30,135,24,102,40,36,22,14,69,19,A,A,A,,,CA,,A
VO,9,3,A,CA San Francisco County,06075,,,7129,,8,7,2.3,16311,519,1279,18.7,8.2,2,9,35,20,30,28,5,81,19,97,85,9,21,57,23,36,58,29,0,31,28,38,3,74,29,1,37,8,32,78,77,106,40,29,30,9,65,14,A,99998,A,,,CA,,A
VO,9,3,A,CA San Mateo County,06081,,,4019,,8,17,2.4,9786,100,1448,17.6,7.2,4,26,18,14,33,0,0,0,3,16,14,7,43,76,44,23,8,10,6,54,16,22,0,68,32,1,13,24,0,265,89,81,37,35,26,6,64,8,A,99998,A,,,CA,,A
PH,9,2,A,CA San Mateo County,06081,260,99,255,98,7,5,2.9,750,643,281,27.6,9.7,1,7,21,16,53,49,6,67,26,88,67,18,36,69,37,20,37,10,4,40,25,30,2,86,24,0,20,41,3,128,91,55,21,44,33,5,86,9,A,A,A,,,CA,,A
S8 NC/SR,9,5,A,CA San Mateo County,06081,946,93,645,73,6,8,1.3,852,364,1018,15.9,12.0,1,8,51,20,20,11,3,86,19,98,88,2,5,66,5,46,12,16,1,9,9,80,13,41,8,0,23,9,,99,84,30,87,10,4,4,42,6,A,A,A,,,CA,,A
S236,9,6,A,CA San Mateo County,06081,601,93,410,100,6,8,1.1,463,318,541,13.6,12.0,0,5,64,23,8,2,1,97,17,100,98,0,0,67,0,86,8,11,0,2,3,95,18,39,3,1,14,20,,96,26,4,100,0,0,0,64,8,A,A,A,,,CA,,A
MF/Other,9,7,A,CA San Mateo County,06081,322,93,319,100,6,9,1.6,517,361,543,15.3,9.4,5,10,41,21,23,15,7,78,18,100,91,4,13,67,15,37,6,13,7,22,9,63,10,63,19,1,24,20,,67,100,50,80,13,7,2,65,10,A,A,A,,,CA,,A
S8 NC/SR,9,5,A,CA Santa Clara County,06085,2437,93,2229,100,5,5,1.4,3192,331,1019,14.4,10.0,3,7,55,21,14,10,3,86,18,99,92,3,5,63,7,52,11,16,2,13,8,76,20,43,3,3,26,11,,107,74,27,80,17,3,3,44,8,A,A,A,,,CA,,A
S236,9,6,A,CA Santa Clara County,06085,1105,94,933,100,6,8,1.4,1313,361,524,14.3,10.2,3,7,54,24,12,7,1,92,18,99,93,3,2,64,3,29,2,5,1,6,4,90,22,61,4,1,48,8,,104,14,6,89,6,5,3,56,15,A,A,A,,,CA,,A
MF/Other,9,7,A,CA Santa Clara County,06085,3563,93,2577,100,6,4,2.2,5761,392,861,16.5,7.4,5,11,38,20,25,30,5,65,19,99,88,18,10,61,19,21,10,9,2,28,19,51,8,74,5,1,49,20,,119,64,27,37,43,20,12,79,13,A,A,A,,,CA,,A
PH,9,2,A,CA Santa Clara County,06085,347,82,287,99,5,1,1.4,412,324,523,13.6,9.5,1,3,62,23,8,5,1,95,17,100,95,1,4,59,4,65,25,26,0,8,11,79,18,67,3,0,47,16,0,122,100,31,83,11,5,1,48,10,A,A,A,,,CA,,A
VO,9,3,A,CA Santa Clara County,06085,,,15621,,11,1,2.6,39927,460,1234,16.5,6.5,5,12,33,18,26,0,0,3,16,90,80,12,27,68,32,26,43,16,1,39,24,34,3,84,12,1,38,33,8,146,92,88,29,31,39,13,68,10,A,99998,A,,,CA,,A
VO,9,3,A,CA Solano County,06095,,,5079,,5,10,2.3,11784,428,833,15.9,6.9,5,14,36,16,26,24,8,83,24,95,73,5,42,81,43,38,61,24,2,50,21,24,2,70,52,1,5,12,7,82,96,120,26,42,31,21,54,11,A,99998,A,,,CA,,A
PH,9,2,A,CA Solano County,06095,75,94,68,95,6,11,2.6,178,517,353,24.2,9.2,1,5,25,14,48,47,4,69,35,80,54,7,47,76,42,24,33,13,2,48,22,26,1,67,26,1,11,27,3,88,100,114,11,44,44,23,32,4,A,A,A,,,CA,,A
S8 NC/SR,9,5,A,CA Solano County,06095,618,93,404,80,6,8,1.8,726,320,800,13.6,7.6,4,19,46,16,15,20,8,72,22,98,85,7,25,77,29,24,8,12,8,27,10,55,6,65,30,1,20,14,,75,99,59,57,31,12,6,62,17,A,A,A,,,CA,,A
S236,9,6,A,CA Solano County,06095,92,93,84,100,8,8,2.6,221,492,542,18.2,7.4,30,10,21,10,30,31,6,40,21,93,76,19,29,79,40,16,53,10,6,46,30,18,0,49,29,1,10,10,,108,5,3,24,25,51,19,65,18,A,A,A,,,CA,,A
MF/Other,9,7,A,CA Solano County,06095,1028,93,728,100,5,6,1.9,1371,290,658,12.6,6.7,9,20,45,15,10,14,16,68,20,98,86,8,27,74,30,17,6,8,14,25,9,53,8,65,34,1,21,9,,70,76,34,61,24,15,5,71,20,A,A,A,,,CA,,A
S8 NC/SR,9,5,A,CA Sonoma County,06097,765,93,603,88,5,6,1.7,1047,340,872,15.0,8.7,5,11,48,17,20,21,4,73,24,97,77,8,21,75,25,36,15,16,4,34,12,50,5,27,4,1,5,17,,80,100,54,59,30,11,4,31,9,A,A,A,,,CA,,A
S236,9,6,A,CA Sonoma County,06097,903,93,586,100,6,15,1.4,805,351,464,14.9,10.9,6,8,49,19,18,11,2,83,24,97,76,5,5,67,5,28,5,7,1,9,8,82,16,25,5,3,10,6,,86,32,16,85,11,4,2,31,11,A,A,A,,,CA,,A
MF/Other,9,7,A,CA Sonoma County,06097,575,93,462,93,7,15,1.3,584,326,425,14.6,11.6,4,10,48,18,19,14,2,83,25,96,72,2,9,69,10,54,7,21,4,24,11,61,7,18,3,1,4,9,,66,99,34,83,15,2,3,23,7,A,A,A,,,CA,,A
PH,9,2,A,CA Sonoma County,06097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,,,CA,,A
VO,9,3,A,CA Sonoma County,06097,,,4056,,5,11,1.9,7580,366,770,15.4,8.3,2,9,48,15,22,19,5,86,24,96,75,4,24,72,25,57,62,36,1,39,27,31,3,25,6,2,4,13,2,79,92,94,46,35,18,14,30,10,A,99998,A,,,CA,,A
